8,can you watch home and away in the northern territory and what channel?,can you watch home and away in northern territory,I assume so. On network 7
3,teeth whitening after getting braces off.....?,"I just got my braces off a couple of weeks ago, and i want to get my teeth whitened. \\n1) do i need to wait a certain number of weeks before i whiten them?\\n2)What is the best, cheap, but effective teeth whitening system? Crest?","I am familiar with these questions as I too have had the same 'dilemma'.  Here is what I was told by my dentist and representatives from several (I shopped around) tooth whitening companies:\\n\\n1) A residual glue that you cannot see nor can dentists/orthodontists remove by simple polishing of the teeth after the braces are removed can remain on the surface of the teeth for up to four weeks after the braces are removed.  If whitening is attempted before all of the glue comes off naturally, the potential for 'spots' or streaking on the teeth from uneven whitening increases.  Therefore, I would suggest a minimum of three to four weeks before I would use any type of strong whitening outside of toothpaste.\\n\\n2) Despite all of the RELATIVELY expensive tooth whitening toothpastes on the market, you can use a simple home remedy of baking soda on your toothbrush after regular brushing.  This works as good, if not better than a toothpaste, and is cheaper.  It does not taste great though.  The problem with the 'painted on' whiteners is that they do not last very long, and over the long haul, they will cost A LOT to maintain.  The alternatives to bright white from Target or Wal-mart are effective, but do not last nearly as long as those that you can buy from your dentist (Brite White and Zoom).  While these are significantly more expensive than store brands, they will last one to two years without outside maintenance, and they are more effective.  You could also do an in-office whitening which speeds up the whitening process (1 afternoon vs. 2 to 3 weeks with Bright White), and costs roughly the same.\\n\\nToothpastes merely remove surface stains like coffee/smoke/food from chronic build-up over the years, and only work to 'whiten' them close to back to where they were before, but Zoom or BriteWhite will whiten them well beyond what you can get from a toothpaste or naturally."
1,why is jesus mother called the virgin mary when she had kids after jesus so she is not a virgin anymore?,,"Mr. Mister had it almost right!\\n\\nHe said\\n>No. She is not a virgin anymore.\\n\\n>She was single and gave birth to Jesus. after >the birth, her and Joseph got married and had >kids.\\n\\n>Jesus does have 1/2 brothers. 1/2 sisters as >we know them. Thats right.\\n\\nActually, Joseph did marry Mary and they went to pay taxes in another town called Bethlehem.  That is where Jesus was born.  After Jesus was born the Bible clearly tells us that Mary had other children.  People do not realize it is there, because it is not a religious point that ministers preach on, and most people do not read their own Bibles!  However, it stated that she had other children.  \\n\\nShe was not a virgin after Jesus, but she was a virgin when Jesus was born.  However, to give her that title is not really wrong, but an acknowledgment and declaration of her being a virgin at the time of Jesus birth."
7,What is a wigit?,,It's a desktop icon of many different things. My Fav is the one that shows the awaiting e-mail messages in the inbox.\\nThe weather one comes in handy if you live in rural areas where there is no local TV news.
5,Trouble with MSN?  Is anyone else having trouble with MSN.com today?  I can't log in or get a phone # to call.,does anyone have phone # for them?  thannks.,MICROSOFT .COM/SUPPORT IS ALL I HAVE I HAD A 800 NUMBER BUT CAN'T FIND IT SORRY
7,Can I ask for her office?,"I have been at my job for a month. After being here for a week a co-worker quit. Although we are the same level, she had been here 12 years. \\nWhen I interviewed I was told I would have an office, instead when I started my desk was put in a reception area due to lack of space.\\nHow do I approach the new boss (while being tactful) that I would like the quitters office?",More than likely they have a plan for this office already.  Someone has probably already beat you to the punch by lining up this office for themselves. What I would do is to ask around and see if anyone else knows about this office and what is going to be done with it.\\n  When you do go to your boss about this office you should come up with some good reasons why it would be important for you to have an office.  Do you recieve phone calls in which confidentiality would be important?  Do you think that this office would increase your productivity?  Do you have the space requirements that would merit an office?  \\n  Really what you gotta do is show that you have a need for the office and not just a want.
6,who as scored the most points in a lacrosse carrer?,he is coaching now,Sammy the Bull Gravahno
2,please differenciate between respiration and photosynthesis in plants with explanation.?,it is of utmost importance. please help.,Respiration is the exchange of gases in the atmosphere with the plants. The plants take in carbon dioxide and give off oxygen.\\n\\nPhotosynthesis is the process by which plants use the sun's energy to make sugars that they need to survive.
10,what type of election system does the US have- like propotional representation?,,"On the national level, the U.S. is a representative democracy where a plurality of votes (in most states) is enough to win an election."
8,Being tied up or tied down?,,"I wouldn't like to be tied up, That would be a bit to freaky for me.\\n\\nBut I'll tie you up in an instant!"
2,what is the sum of the prime numbers from 160 to 180?,,"The prime numbers from 160-180 are 163, 167, 173, and 179. Therefore, the sum of those four numbers is 682."
7,what´s the sense of your life?,,"The sense would be that it can be really cool sometimes, eventhoug it doesn't seem to make any sense."
7,"I need to think of a 5 minute presentation for a promotion at work, on any topic! Do you have any ideas?",,"Do something controversial-like the war-maybe that will get attention.  One time, at my work, a lady did a presentation on communication.  For example, she broke down how a person actually hears versus body language.  It was interesting."
3,I read that birth control pills can make you where you do not get turned on anymore?,They make you where you also don't produce natural lubrication as well either. They have just recently found this out. Anyone experiencing this problem? Whats the best type of pill?,this could be a very minor reaction to the pill but not really a concern.  All medications have rare side effects that could happen to one in a million   drug co. are just covering thier butt
